430,7,3,"190 E","",2006-05-13 14:57:53.687000000
431,7,3,"230 E","",2006-05-13 14:59:03.280000000
432,7,3,"260 E","",2006-05-13 14:59:18.153000000
433,7,3,"280 SE","",2006-05-13 15:00:09.763000000
434,7,3,"300 SE","",2006-05-13 15:00:28.937000000
435,7,3,"300 Sel","",2006-05-13 15:00:55.717000000
436,7,4,"300 TE","",2006-05-13 15:01:40.047000000
437,7,3,"350 Sel","",2006-05-13 15:02:00.483000000
438,7,3,"500 E","",2006-05-13 15:02:53.733000000
439,7,3,"500 SE","",2006-05-13 15:03:13.107000000
440,7,3,"500 SEC","",2006-05-13 15:03:33.060000000
441,7,3,"500 SEL","",2006-05-13 15:03:48.170000000
442,7,6,"Classe SL","",2012-02-13 11:00:39.780000000
443,8,6,"3000 GT","",2006-05-13 15:09:42.653000000
444,8,2,"Colt","",2006-05-13 15:10:07.623000000
445,8,3,"Diamant","",2006-05-13 15:10:36.013000000
446,8,1,"Expo","",2006-05-13 15:12:12.077000000
447,8,10,"L 300","",2006-05-13 15:13:08.967000000
448,8,3,"Mirage","",2006-05-13 15:14:15.043000000
449,8,9,"Montero","",2006-05-13 15:15:11.967000000
450,10,6,"240 SX","",2006-05-13 15:27:49.717000000
451,10,6,"300 ZX","",2006-05-13 15:28:15.513000000
452,10,3,"Altima","",2006-05-13 15:28:43.187000000
453,10,11,"AX","",2006-05-13 15:29:43.687000000
454,10,11,"D21","",2006-05-13 15:30:08.903000000
455,10,11,"King Cab","",2006-05-13 15:31:37.263000000
456,10,2,"Micra","",2006-05-13 15:33:01.890000000
457,10,6,"NX","",2006-05-13 15:34:37.483000000
458,10,11,"Pick-up","",2006-05-13 15:38:01.857000000
459,10,1,"Quest","",2006-05-13 15:39:20.403000000
460,10,3,"Stanza","",2006-05-13 15:40:25.233000000
461,10,9,"Terrano","",2006-05-13 15:40:57.983000000
462,10,10,"Van","",2006-05-13 15:41:43.110000000
463,10,3,"Primera","",2006-05-13 15:42:14.250000000
464,10,9,"Murano","S",2006-11-13 16:49:22.107000000
465,10,3,"Maxima","",2006-05-13 15:43:12.030000000
466,10,3,"J30","S",2011-02-15 12:36:38.047000000
467,6,2,"205","",2006-05-13 15:52:10.483000000
468,6,2,"306","",2006-05-13 15:52:23.797000000
469,6,3,"405","",2006-05-13 15:52:52.110000000
470,6,3,"406","",2006-05-13 15:54:12.997000000
471,6,11,"504","",2006-05-13 15:54:54.857000000
472,6,3,"505","",2006-05-13 15:55:22.403000000
473,6,3,"605","",2006-05-13 15:56:27.327000000
474,48,6,"Firebird","",2006-05-13 15:58:56.187000000
475,48,6,"Formula 400","",2006-05-13 16:02:05.623000000
476,48,6,"Formula 401","",2006-05-13 16:02:26.717000000
477,48,6,"Formula 402","",2006-05-13 16:02:38.873000000
478,48,6,"GTO","",2006-05-13 16:02:56.577000000
479,48,6,"Trans Sport","",2006-05-13 16:03:21.340000000
480,48,7,"Solstice","",2006-05-13 16:03:56.530000000
481,37,6,"Cayman","N",2009-12-03 19:09:46.373000000
482,37,6,"928","N",2009-12-03 19:09:46.373000000
483,37,6,"968","N",2009-12-03 19:09:46.373000000
484,37,7,"968 Cabriolet","N",2009-12-03 19:09:46.373000000
485,50,6,"GTE","",2006-05-13 16:24:27.263000000
486,50,7,"GTS","",2006-05-13 16:25:36.577000000
487,50,6,"AMV","",2006-05-13 16:26:08.890000000
488,50,6,"GTB","",2006-05-13 16:26:25.687000000
489,50,6,"GTC","",2006-05-13 16:26:46.390000000
490,50,6,"GT","",2006-05-13 16:27:09.700000000
491,5,3,"19","",2006-05-13 16:29:18.157000000
492,5,3,"21","",2006-05-13 16:29:48.357000000
493,5,3,"Safrane","",2006-05-13 16:30:55.140000000
494,5,10,"Express","",2006-05-13 16:31:23.077000000
495,44,7,"Cornechi","",2006-05-13 16:33:26.030000000
496,44,7,"New Phantom","",2006-05-13 16:33:53.357000000
497,36,3,"Cordoba","",2006-05-13 16:34:44.420000000
498,36,2,"Ibiza","",2006-05-13 16:34:55.997000000
499,36,5,"Inca","",2006-05-13 16:35:20.530000000
500,42,6,"Fortwo","S",2009-12-03 19:12:03.983000000
501,42,6,"City","",2006-05-13 16:38:00.340000000
502,24,2,"Vivio","",2006-05-13 17:43:24.747000000
503,24,6,"SVX","",2006-05-13 17:44:02.733000000
504,25,3,"Baleno","",2006-05-13 17:58:00.200000000
505,25,9,"Grand Vitara","S",2010-05-31 14:54:57.750000000
506,25,8,"Samurai","",2006-05-13 17:58:53.340000000
507,25,9,"Sidekick","",2006-05-13 17:59:23.187000000
508,25,10,"Carry","",2006-05-13 18:00:20.107000000
509,25,2,"Swift","",2006-05-13 18:00:45.233000000
510,25,9,"Vitara","",2006-05-13 18:01:06.797000000
511,25,2,"Ignis","",2006-05-13 18:01:36.593000000
512,25,8,"Jimny","S",2010-05-31 14:55:27.200000000
513,25,4,"Wagon","",2006-05-13 18:02:30.857000000
514,11,6,"Supra","",2006-05-13 18:09:42.153000000
515,11,8,"Bandeirante","",2006-05-13 18:10:12.483000000
516,11,6,"Celica","",2006-05-13 18:10:48.687000000
517,11,3,"Corona","",2006-05-13 18:11:16.983000000
518,11,7,"MR-2","",2006-05-13 18:12:41.170000000
519,11,6,"Paseo","",2006-05-13 18:12:57.263000000
520,11,1,"Previa","",2006-05-13 18:13:52.747000000
521,11,11,"T-100","",2006-05-13 18:14:32.077000000
522,11,11,"Tundra","",2006-05-13 18:14:50.763000000
523,11,9,"4 Runner","",2006-05-13 18:15:41.780000000
524,14,3,"S70","",2006-05-13 18:17:48.467000000
525,14,3,"960","",2006-05-13 18:18:19.403000000
526,14,4,"940","",2006-05-13 18:18:32.170000000
527,14,3,"850","",2006-05-13 18:19:05.607000000
528,14,4,"850 SW","",2006-05-13 18:19:38.373000000
529,14,3,"460","",2006-05-13 18:19:58.077000000
530,14,3,"440","",2006-05-13 18:21:44.967000000
531,16,1,"Towner","",2006-05-13 18:24:52.077000000
532,16,10,"Topic","",2006-05-13 18:25:16.763000000
533,16,8,"Rocsta","",2006-05-13 18:25:35.857000000
534,16,10,"Hi-topic","",2006-05-13 18:26:10.060000000
535,16,9,"Galloper","",2006-05-13 18:26:55.090000000
536,16,10,"AM 825","",2006-05-13 18:27:23.890000000
537,31,3,"100","",2006-05-13 18:32:33.107000000
538,31,3,"80","",2006-05-13 18:32:44.590000000
539,31,4,"80 Avant","",2006-05-13 18:35:01.140000000
540,31,4,"100 Avant","",2006-05-13 18:38:25.780000000
541,31,4,"RS2","",2006-05-13 18:39:42.747000000
542,31,4,"RS4","",2006-05-13 18:40:00.840000000
545,2,4,"Quantum","",2006-05-14 19:43:55.293000000
546,15,7,"Serie 3 - Cabrio","S",2013-03-13 10:59:14.437000000
550,4,4,"Maraj¢","",2006-05-14 21:18:51.060000000
551,4,1,"Lumina","",2006-05-14 21:21:25.763000000
552,4,4,"Suprema","",2006-05-14 21:27:50.607000000
553,4,1,"Veraneio","",2006-05-14 21:28:26.997000000
554,4,9,"Grand Blazer","",2006-05-14 21:52:43.467000000
555,4,6,"Tigra","",2006-05-14 21:54:18.420000000
557,48,6,"Transam","",2006-05-14 21:58:17.513000000
558,46,11,"3500 HD","",2006-05-14 22:00:17.030000000
559,46,9,"Jimmy Blazer","",2006-05-14 22:03:06.360000000
560,46,11,"Cheyenne","",2006-05-14 22:02:23.310000000
561,46,11,"Sonoma","",2006-05-14 22:03:37.203000000
562,46,11,"Yukon","",2006-05-14 22:04:41.577000000
563,46,11,"Sierra","",2006-05-14 22:07:13.903000000
564,46,9,"Envoy","",2006-05-14 22:07:33.450000000
565,4,9,"Suburban","",2006-05-14 22:08:42.420000000
566,4,10,"Space Van","",2006-05-14 22:09:13.907000000
568,18,3,"300 C","S",2006-08-08 15:29:05.043000000
569,18,3,"300 M","",2006-08-08 14:26:14.187000000
570,18,3,"Cirrus","",2006-05-14 22:28:57.327000000
571,18,3,"Neon","",2006-05-14 22:30:04.170000000
573,18,3,"De Soto","",2006-05-14 22:31:07.797000000
574,18,3,"Le Baron","",2006-05-14 22:31:25.340000000
575,18,9,"Pacifica","",2006-05-14 22:31:46.513000000
576,18,3,"Sebring","",2006-05-14 22:32:14.233000000
